term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-1.023640605694857,4.1916254933424074e-4,0.080443867428995,-1.1807502328751203,-1.0782948682847255,-1.0232660326097516,-0.9694963518071744,-0.8672045128006435,36831.62982592731,1.000088071211046,20191108,40000,-1,med-pos-xyerror,linear-xme
betax,1.26563843718042,1.0484046219735685e-4,0.020076283678751063,1.2264622673874244,1.2521556275279708,1.2654682074983838,1.2791821147981097,1.3049595211564124,36669.821295937654,1.000062542334747,20191108,40000,1,med-pos-xyerror,linear-xme
sigma,0.9807153799433053,4.092819880397902e-4,0.06699837515146223,0.8575125539905052,0.9341443612822193,0.9779315211032007,1.0250518729194136,1.1180842726525189,26796.821042443826,0.9999608725441899,20191108,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9939172487093607,3.996104763857726e-4,0.09272559742633547,-1.1772366290531484,-1.0561103473209525,-0.9941287326158113,-0.9312437206571669,-0.8134024013289677,53842.541260197715,0.9999575593001808,20191109,40000,-1,med-pos-xyerror,linear-xme
betax,1.238107614702951,1.0340492254244867e-4,0.02316520506175916,1.1931053595782786,1.2224560950760677,1.2380833176885846,1.2535992784910122,1.2839161027105161,50186.84224251054,1.0000482295039528,20191109,40000,1,med-pos-xyerror,linear-xme
sigma,1.1777146282533677,3.6238394150935987e-4,0.07302098288690213,1.0424334104826458,1.127679191777557,1.1742830156717878,1.2252058212056576,1.3288915661441072,40602.93801663762,1.000016918806197,20191109,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9583394016024099,2.963663183300791e-4,0.0797001830798115,-1.1147701848549318,-1.011607885730098,-0.9582947643920123,-0.9050341160354445,-0.8016381993967832,72320.42137414076,0.9999574053221016,20191110,40000,-1,med-pos-xyerror,linear-xme
betax,1.2560057240001228,7.457786336636928e-5,0.019240186351900047,1.218356812131511,1.242957005923183,1.2561102672108442,1.2690652846578843,1.293503300539082,66557.75651543881,1.0000709065858537,20191110,40000,1,med-pos-xyerror,linear-xme
sigma,0.9663481872540776,3.223591467258787e-4,0.06567612060355105,0.8447945295503764,0.9206558022266405,0.9642811413876549,1.009346335249906,1.101899032187305,41508.30395725965,0.9999588305554884,20191110,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9629486867635594,3.181944522082947e-4,0.08931216454952288,-1.139802813282247,-1.0224388507389852,-0.9624749558169852,-0.9033018792281167,-0.7882346492377339,78783.6365140498,0.9999698685082464,20191111,40000,-1,med-pos-xyerror,linear-xme
betax,1.2208352590683205,7.8116956052986e-5,0.021322393016791594,1.1785467432268883,1.2065585299102493,1.2207970726479558,1.2351066115214775,1.262366042035375,74504.28720756738,0.9999733289682711,20191111,40000,1,med-pos-xyerror,linear-xme
sigma,1.1331472342971396,3.1317251250927565e-4,0.07082289582193961,1.0015925083784083,1.0842380480025744,1.1307053098033801,1.179334866987979,1.2797033835135683,51142.280220959175,0.9999601219315668,20191111,40000,1,med-pos-xyerror,linear-xme
beta0,-1.2029020061358418,2.8231641054502307e-4,0.07364244822222797,-1.3472176510364564,-1.2528490780034396,-1.2035351630142381,-1.1533250147183953,-1.0580201240347937,68043.11524328389,0.9999737292714703,20191112,40000,-1,med-pos-xyerror,linear-xme
betax,1.2175504720452135,7.421888597062918e-5,0.01926048350010895,1.1797415345638294,1.204492788158422,1.2175263641666954,1.2304838166331775,1.2553511061385454,67345.02332504216,0.9999945835756012,20191112,40000,1,med-pos-xyerror,linear-xme
sigma,0.8986094079013642,3.234588115050359e-4,0.062440302689541365,0.7813807690469249,0.855347423242309,0.8968947928283606,0.9395930197684218,1.0257211982593755,37264.21925272837,1.0000329608703271,20191112,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9056470071252004,3.170522650076252e-4,0.08485247977331384,-1.0723534861119037,-0.962834029838973,-0.9057650247640285,-0.8485808972717235,-0.7391202584028911,71625.44901516836,0.9999539933112473,20191113,40000,-1,med-pos-xyerror,linear-xme
betax,1.2472482518025108,8.60011833883113e-5,0.021956687990327458,1.2044097176707955,1.2324727283527706,1.2471980363620816,1.262168989114042,1.2901933700381825,65181.568439026814,0.9999610371955325,20191113,40000,1,med-pos-xyerror,linear-xme
sigma,1.0439655826782803,3.236549303272244e-4,0.0679095074189223,0.9167915136864369,0.9967686777452008,1.041817816424607,1.0882136769222641,1.183564680609775,44024.73052987742,1.0000008507010247,20191113,40000,1,med-pos-xyerror,linear-xme
beta0,-1.0767710510006003,3.210183621530189e-4,0.08613349266459819,-1.2452898764369995,-1.1346796407719668,-1.0762510085815238,-1.018746553556086,-0.9087069885646328,71992.02119763898,0.999951083042159,20191114,40000,-1,med-pos-xyerror,linear-xme
betax,1.2429374520815866,8.174923587801186e-5,0.021948785467519303,1.199969060316938,1.2282861941349958,1.2429551987257659,1.2576529222916697,1.2857597361359974,72086.44083465259,1.0000129825399953,20191114,40000,1,med-pos-xyerror,linear-xme
sigma,1.078244681505169,3.1471814260218165e-4,0.06961151591455277,0.9482673740253201,1.0300667849725156,1.0760094639129654,1.1236419709682166,1.2211159187788323,48923.62446064398,0.9999982171334559,20191114,40000,1,med-pos-xyerror,linear-xme
