term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-1.0137698148259062,3.5417592268373695e-4,0.07939020161569023,-1.169780992032035,-1.067134660431182,-1.0139884323282558,-0.9603704744596054,-0.8581022882194943,50245.334493060705,0.9999791576432145,20191108,40000,-1,med-pos-xyerror,linear-xyme
betax,1.0127330017446856,7.273594032034103e-5,0.015844867116327325,0.9816583230937882,1.0020700899157906,1.0127280915815549,1.0234418355083847,1.0435562093245814,47454.68415586194,0.9999552982655744,20191108,40000,1,med-pos-xyerror,linear-xyme
sigma,0.8669840585057984,5.026664779724006e-4,0.07349229439663364,0.7277280266650384,0.8166256786046666,0.8651743102742467,0.9149360085728947,1.0173779440972561,21375.868276472665,0.999979079979327,20191108,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.9839056464836098,3.6926245241623894e-4,0.09042245785355675,-1.16017036242519,-1.0452320197738603,-0.9842523968929526,-0.922429060748913,-0.8064311099074771,59962.856876907324,0.9999724496429833,20191109,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9904369403572807,7.774420842786955e-5,0.018446390265048115,0.954050150863553,0.9780150214636426,0.9904834866527228,1.002756255287204,1.0267155257826022,56297.18676614301,0.9999738129529104,20191109,40000,1,med-pos-xyerror,linear-xyme
sigma,1.0794609546177945,4.372419584561344e-4,0.07734027695327467,0.9345443478329764,1.0261087938089841,1.0775492048497235,1.1300850971413727,1.236178734079856,31287.278217455572,1.0000245489916926,20191109,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.9489407917546776,3.3947522472071035e-4,0.07835360755065104,-1.1016380602301477,-1.0023047226029043,-0.9487520391461518,-0.8961721846860071,-0.7941855657983337,53272.34630326012,1.0000658566054692,20191110,40000,-1,med-pos-xyerror,linear-xyme
betax,1.004811455985895,6.862538988230793e-5,0.015381081773681613,0.9747285908652814,0.9944775692939433,1.0047173519312445,1.0152166915977177,1.0351156991433816,50234.73464631943,1.000029201581348,20191110,40000,1,med-pos-xyerror,linear-xyme
sigma,0.850097452470202,5.124183783174533e-4,0.0729526156742573,0.7123470016773836,0.8000910939201875,0.8485608159869311,0.8976587762682999,0.9987545657435017,20269.0008266759,1.0001354507608935,20191110,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.9540678036471113,3.5881011773473455e-4,0.08799355950342864,-1.1271323028231721,-1.01297498024718,-0.954309501013809,-0.8953060761544753,-0.7795838212510425,60141.24448362866,0.9999630664048672,20191111,40000,-1,med-pos-xyerror,linear-xyme
