term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
beta0,-1.0300089679678617,3.6216525399272563e-4,0.07525734008814272,-1.1768167966954837,-1.080914510405417,-1.0298166674933604,-0.9790883541634068,-0.8831989472019801,43180.15183124104,0.9999674594229074,20191108,40000,-1,med-pos-noerror,linear
betax,0.9945758261408449,1.2965591002414922e-4,0.02643472044445364,0.942674506517725,0.97675975259197,0.9945615203327804,1.0122541112511192,1.0465043582466347,41568.54356967241,0.9999943701200702,20191108,40000,1,med-pos-noerror,linear
sigma,1.0605943025629012,2.681564386063997e-4,0.05333056236349001,0.9620632251899751,1.0237146038495561,1.058326537973526,1.0952393009266737,1.1704304357480808,39552.67569256636,0.9999813248440741,20191108,40000,1,med-pos-noerror,linear
beta0,-1.039720878800781,3.879412884529746e-4,0.07444695346368609,-1.1860228233747143,-1.0892841940096387,-1.0403205740995518,-0.9897420039346244,-0.892495844840028,36826.6193256991,0.9999679339963482,20191109,40000,-1,med-pos-noerror,linear
betax,1.005044329687199,1.31991481027509e-4,0.024986743087932046,0.9561488265871273,0.9882366103057916,1.0050727494594955,1.0217622367465589,1.054179275835349,35836.657742076386,0.9999924430199078,20191109,40000,1,med-pos-noerror,linear
sigma,1.049030657605829,2.821639120260928e-4,0.053221871304235474,0.9506637306780041,1.0125624329687193,1.0467077442834336,1.0836649837251195,1.1596148858173088,35577.657104138016,1.0000527566634931,20191109,40000,1,med-pos-noerror,linear
beta0,-0.9718967264278293,3.426419547609229e-4,0.06774804417511382,-1.1048168076083182,-1.0176429948586765,-0.9719899385512574,-0.9262012340896006,-0.8388583724210402,39094.21040562601,0.9999817879430868,20191110,40000,-1,med-pos-noerror,linear
betax,1.0229324736034489,1.2333776521741263e-4,0.02314336606699049,0.9769896004464126,1.007473977105311,1.0229529766762246,1.0385039912889535,1.0682778199551182,35209.58444502285,0.999978329310227,20191110,40000,1,med-pos-noerror,linear
sigma,0.9495926493707103,2.576883124667561e-4,0.048480371150166006,0.8606952426245676,0.9159411902945649,0.9473571764860609,0.9809884382305871,1.050498109830127,35395.041764033085,1.0000345815084963,20191110,40000,1,med-pos-noerror,linear
beta0,-0.9420204248120456,3.7146154837081204e-4,0.07271056919412265,-1.084282454967365,-0.9903254235418326,-0.9423968563640399,-0.89363485578846,-0.7989695516041356,38314.87027338161,0.9999799082853343,20191111,40000,-1,med-pos-noerror,linear
